1,0,hose,sew,easy
1,1,hat,hate,hot
1,2,hen,know,new
1,3,home,aim,yummy
1,4,arrow,row,hairy
2,5,whale,heal,oily
2,6,shoe,chew,itchy
2,7,cow,hook,gay
2,8,hoof,view,heavy
2,9,pie,buy,happy
3,00,sauce,assess,sissy
3,01,seed,swat,sad
3,02,sun,assign,snowy
3,03,sumo,assume,awesome
3,04,sierra,sorrow,sorry
4,05,soil,sell,slow
4,06,sewage,switch,swishy
4,07,sky,soak,sick
4,08,sofa,save,savvy
4,09,soap,sob,sappy
5,10,daisy,tease,dizzy
5,11,tattoo,edit,tight
5,12,tuna,widen,wooden
5,13,dome,time,tame
5,14,diary,draw,dry
6,15,tail,tell,tall
6,16,dish,teach,whitish
6,17,dog,take,thick
6,18,dove,defy,deaf
6,19,tuba,type,deep
7,20,nose,ionize,noisy
7,21,net,unite,neat
7,22,onion,nanny,neon
7,23,enemy,name,numb
7,24,winery,honour,narrow
8,25,nail,inhale,annual
8,26,nacho,enjoy,nudgy
8,27,neck,knock,naggy
8,28,knife,envy,naïve
8,29,honeybee,nab,wannabe
9,30,mouse,amuse,messy
9,31,meadow,meet,mute
9,32,moon,mine,mean
9,33,mummy,mime,mum
9,34,emery,marry,merry
10,35,mole,mail,male
10,36,match,mash,mushy
10,37,mug,mock,mucky
10,38,movie,move,mauve
10,39,map,mop,wimpy
11,40,rice,erase,rosy
11,41,road,read,ready
11,42,urine,ruin,runny
11,43,rum,ram,haram
11,44,aurora,rear,rare
12,45,railway,rule,royal
12,46,roach,reach,rich
12,47,rag,rake,rocky
12,48,roof,arrive,rough
12,49,rope,wrap,ripe
13,50,louse,lose,lazy
13,51,lady,let,elite
13,52,lion,align,alien
13,53,lime,loom,lame
13,54,lorry,lure,leery
14,55,lily,lull,loyal
14,56,leech,latch,lush
14,57,leg,lick,lucky
14,58,lava,love,leafy
14,59,lip,help,loopy
15,60,cheese,chase,choosy
15,61,cheetah,cheat,chatty
15,62,chin,chain,shiny
15,63,gem,jam,sham
15,64,shrew,jury,cherry
16,65,chilli,chill,jolly
16,66,cha-cha,judge,Jewish
16,67,chick,check,shaky
16,68,chef,achieve,chief
16,69,jeep,chop,cheap
17,70,goose,kiss,cosy
17,71,cat,quote,good
17,72,coin,weaken,keen
17,73,game,comb,gummy
17,74,crow,carry,grey
18,75,clay,kill,cool
18,76,cage,coach,catchy
18,77,cake,cook,quick
18,78,cave,give,goofy
18,79,cube,copy,agape
19,80,vase,fuse,fussy
19,81,video,fight,fat
19,82,fan,fine,funny
19,83,ovum,fume,foamy
19,84,fairy,fry,furry
20,85,fool,fly,foul
20,86,veggie,fetch,fishy
20,87,fig,fake,foggy
20,88,fife,viva,fave
20,89,vibe,fob,fab
21,90,boss,oppose,busy
21,91,bead,bite,bad
21,92,pony,ban,bony
21,93,puma,bomb,balmy
21,94,berry,bury,pro
22,95,bell,peel,blue
22,96,pouch,patch,bushy
22,97,bike,poke,back
22,98,beef,pave,puffy
22,99,pipe,pop,baby
